user_id,event_type,event_time,platform,session_id,item_category
TL-0366,complete_listing,2026-01-27T19:00:00.000000,Web,144548,
TL-0138,search_item,2026-01-05T20:00:00.000000,WEB,351153,Phone
TL-0055,session_start,2026-02-07T11:00:00.000000,WEB,837524,
TL-0159,session_start,2026-01-21T20:00:00.000000,WEB,115904,
TL-0321,start_listing,2026-01-10T20:00:00.000000,Android,314802,Phone
TL-0064,start_listing,2026-01-03T07:00:00.000000,Web,736470,Battery
TL-0225,complete_listing,2026-01-21T03:00:00.000000,Android,991187,
TL-0062,start_listing,2026-01-22T07:00:00.000000,WEB,149065,Battery
TL-0308,search_item,2026-02-13T09:00:00.000000,WEB,237130,Phone
TL-0403,session_start,2026-01-16T08:00:00.000000,Android,807433,
TL-0134,session_start,2026-02-09T23:00:00.000000,Android,890008,
TL-0445,start_listing,2026-02-03T06:00:00.000000,Android,764716,Small Appliance
TL-0054,session_start,2026-01-19T02:00:00.000000,WEB,486466,
TL-0055,start_listing,2026-02-08T18:00:00.000000,Android,780766,Small Appliance
TL-0182,search_item,2026-01-12T10:00:00.000000,Android,125272,Battery
TL-0143,search_item,2026-01-18T10:00:00.000000,WEB,378165,Phone
TL-0031,complete_listing,2026-02-14T03:00:00.000000,iOS,155829,
TL-0098,start_listing,2026-01-30T10:00:00.000000,Android,529088,Small Appliance
TL-0185,session_start,2026-01-09T08:00:00.000000,iOS,154160,
TL-0333,session_start,2026-02-05T23:00:00.000000,Web,484571,
TL-0249,search_item,2026-01-29T23:00:00.000000,iOS,864553,Small Appliance
TL-0068,session_start,2026-01-31T21:00:00.000000,Web,189257,
TL-0259,search_item,2026-01-01T14:00:00.000000,Web,624319,Small Appliance
TL-0011,search_item,2026-01-24T23:00:00.000000,Web,523799,Battery
TL-0394,start_listing,2026-01-29T16:00:00.000000,Web,908662,Phone
TL-0128,start_listing,2026-01-13T03:00:00.000000,WEB,263774,Laptop
TL-0217,search_item,2026-02-12T18:00:00.000000,Web,152840,Phone
TL-0397,session_start,2026-01-21T02:00:00.000000,WEB,253330,
TL-0059,search_item,2026-01-22T07:00:00.000000,WEB,906399,Phone
TL-0213,complete_listing,2026-01-19T07:00:00.000000,WEB,459751,
TL-0010,start_listing,2026-01-07T22:00:00.000000,Web,120804,Battery
TL-0446,session_start,2026-02-13T02:00:00.000000,Android,686041,
TL-0105,session_start,2026-02-05T10:00:00.000000,Web,443823,
TL-0442,start_listing,2026-01-30T10:00:00.000000,iOS,478648,Laptop
TL-0172,session_start,2026-01-23T14:00:00.000000,WEB,432697,
